modifier,add_bonus,add_bonus_rotational,modifier_type,notes
paradox,1,1,body,"+1 universally. Confirmed: paradox mirage=3 (mirage 2+1), paradox whirl=4 (whirl 3+1), paradox torque=5 (torque 4+1)."
spinning,1,2,body,"+1 for non-rotational base (clipper, butterfly, osis). +2 for rotational base (mirage, whirl, torque, blender, swirl, drifter). Confirmed: spinning clipper=3, spinning butterfly=4, spinning whirl=5, spinning torque=6."
ducking,1,1,body,"+1 universally. Confirmed: ducking clipper=3, ducking butterfly=4, ducking whirl=4, ducking osis=4."
symposium,1,1,body,"+1 universally. Confirmed: symposium whirl=4, symposium dlo=4, symposium torque=5 (torque 4+1)."
gyro,1,1,body,"+1 universally. Confirmed: gyro torque=mobius=5 (torque 4+1), gyro whirl=4 (whirl 3+1), gyro butterfly=4 (butterfly 3+1)."
stepping,1,1,body,"+1 universally. Confirmed: stepping whirl=4, stepping osis=4, stepping butterfly=4, stepping drifter=4."
tapping,1,1,body,"+1 universally. Confirmed: tapping whirl=4, tapping clipper=3 (clipper 2+1)."
blazing,1,1,body,"+1 universally. Confirmed: blazing legover=3 (legover 2+1)."
barraging,1,1,body,"+1 universally. Confirmed: barraging legover=flurry=3. Note: barraging osis=baroque=5 is unexpectedly +2 from osis(3); mark barraging+osis as uncertain."
weaving,1,1,body,"+1 universally. Confirmed: weaving clipper=3, weaving butterfly=4."
diving,1,1,body,"+1 universally. Confirmed: diving butterfly=4 (butterfly 3+1)."
swirling,1,2,body,"+1 non-rotational / +2 rotational. Parallel behavior to spinning. Inferred; not independently confirmed for all bases."
miraging,1,1,body,"+1 as standalone modifier. Underlies named tricks: drifter (miraging clipper), torque (miraging osis), DLO (miraging legover). Use named entry in dict where possible."
whirling,1,1,body,"+1 universally. Confirmed: whirling osis=blender=4 (osis 3+1)."
blurry,1,2,set,"+1 for non-rotational base (clipper, butterfly, osis, legover). +2 for rotational base (mirage, whirl, torque, blender, swirl, drifter). Confirmed: blurry clipper=3, blurry butterfly=ripwalk=4, blurry mirage=blur=4, blurry whirl=5, blurry torque=6."
atomic,1,2,set,"+1 for non-rotational base (butterfly, osis). +2 for rotational base (mirage). Confirmed: atomic butterfly=legbeater=4 (butterfly 3+1), atomic osis=4 (osis 3+1), atomic mirage=atom smasher=4 (mirage 2+2). Note: atomic torque=silo=6 may require an additional element; mark uncertain."
pixie,1,1,set,"+1 universally. Confirmed: pixie mirage=smear=3 (mirage 2+1), pixie butterfly=dimwalk=4 (butterfly 3+1), pixie osis=4 (osis 3+1)."
fairy,1,1,set,"+1 universally. Confirmed: fairy mirage=3 (mirage 2+1), fairy butterfly=4 (butterfly 3+1)."
quantum,1,1,set,"+1 per source: quantum butterfly=4 ADD = butterfly(3)+quantum(1). Mark uncertain pending further confirmation."
nuclear,2,2,set,"Uncertain: nuclear mirage=sumo=5 implies +3 from mirage(2), not simply +1 or +2. Do not use for algorithmic scoring without human review."
xdex,1,1,body,"+1 per instance. Per Red pt1 (2026-04-20), X-Dex pushes Atom Smasher from 3 (notation: 2 dex + 1 del) to 4 ADD. Per footbag.org Freestyle Concepts page: 'X-Dex is similar to symposium and paradox ... represents the added difficulty of certain types of dexterities ... complete circling of the footbag'. Uncertain whether X-Dex acts as a prefix modifier (universal, like paradox) or only fires in specific constructions; pending Red follow-up 2026-04."
