event_id,canonical_event_id,action,notes

1980_worlds_oregon_city,1980_worlds_oregon_city_2,supersede,mirror stub replaced by magazine
1980_worlds_oregon_city_2,1980_worlds_oregon_city,canonical,rename to base key

1980_worlds_memphis,1980_worlds_memphis,merge,partial merge required
1980_worlds_memphis_2,1980_worlds_memphis,merge,net divisions source

1984_eurochamp,,hold,parallel event pattern (mirrors 1987_eurochamp vs 1987_eurochamp_munich split); not a data conflict; awaiting host-city evidence for _2 key disambiguation
1984_eurochamp_2,,hold,parallel event pattern (mirrors 1987_eurochamp vs 1987_eurochamp_munich split); not a data conflict; awaiting host-city evidence for _2 key disambiguation

# Pre-1985 Worlds source-merge declarations (2026-04-25 source adjudication).
# Two source documents (authoritative-results-1980-1985.txt and worlds-gemini-82-84.txt)
# independently document the same NHSA/WFA championships under separate event_keys.
# Per-pair conflict report at: overrides/event_equivalence_pre1985_worlds_{summary,detail}.csv
# Adjudication deferred — no canonical CSV mutation yet.
1982_nhsa_national,1982_worlds_oregon_city,merge,worlds-gemini-82-84.txt source; conflicts on women's disciplines
1983_nhsa_national,1983_worlds_boulder_nhsa,merge,worlds-gemini-82-84.txt source; conflicts on open + women's net
1983_national,1983_worlds_boulder_wfa,merge,worlds-gemini-82-84.txt source; complementary disciplines (no shared overlap)
1984_national,1984_worlds_golden_wfa,merge,worlds-gemini-82-84.txt source; mostly identical (7 of 11 shared placements)
