survivor,doomed,discipline_key,placement,survivor_participants,doomed_participants,status
1982_worlds_oregon_city,1982_nhsa_national,mixed_doubles_net,1,Alex Frazier + Scott Hughes,Lori Jean Tarr + Bill Hayne,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,mixed_doubles_net,2,Cheryl Hughes + Bill Hayne,Cheryl Hughes + Scott Hughes,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,mixed_doubles_net,3,Rita Buckley + Greg Cortopassi,Tricia George + Dave Robinson,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_doubles_net,1,Lori Jean Conover + Carolyn Ramondie,Cheryl Hughes + Lori Jean Tarr,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_doubles_net,2,Rita Buckley + Alex Frazier,Tricia George + Judy Grace,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_doubles_net,3,Cheryl Hughes + Karen Uppinghouse,Nancy Reynolds + Constance Constable,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_singles_net,1,Cheryl Hughes,Lori Jean Tarr,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_singles_net,2,Carolyn Ramondie,Nancy Reynolds,CONFLICT
1982_worlds_oregon_city,1982_nhsa_national,womens_singles_net,3,Karen Gunther,Cheryl Hughes,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,mixed_doubles_net,1,Lori Jean Conover + Bill Hayne,Lori Jean Tarr + Bruce Guettich,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,mixed_doubles_net,2,Cheryl Hughes + Scott Hughes,Shannon Aubin + Dave Robinson,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,mixed_doubles_net,3,Tricia George + David Robinson,Tricia George + Jim Fitzgerald,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,womens_doubles_net,1,Lori Jean Conover + Cheryl Hughes,Lori Jean Tarr + Rita Buckley,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,womens_singles_net,1,Lori Jean Conover,Lori Jean Tarr,CONFLICT
1983_worlds_boulder_nhsa,1983_nhsa_national,womens_singles_net,2,Nancy Reynolds,Nancy Reynolds,IDENTICAL
1983_worlds_boulder_nhsa,1983_nhsa_national,womens_singles_net,3,Cheryl Hughes,Tricia George,CONFLICT
1984_worlds_golden_wfa,1984_national,mens_overall,1,Scott Hughes,Scott Hughes,IDENTICAL
1984_worlds_golden_wfa,1984_national,mixed_doubles_net,1,Tricia George + David Robinson,Tricia George + Dave Robinson,CONFLICT
1984_worlds_golden_wfa,1984_national,mixed_doubles_net,2,Nancy Reynolds + Greg Cortopassi,Nancy Reynolds + Greg Cortopassi,IDENTICAL
1984_worlds_golden_wfa,1984_national,mixed_doubles_net,3,Cheryl Hughes + Scott Hughes,Cheryl Hughes + Scott Hughes,IDENTICAL
1984_worlds_golden_wfa,1984_national,womens_doubles_net,1,Nancy Reynolds + Tricia George,Nancy Reynolds + Tricia George,IDENTICAL
1984_worlds_golden_wfa,1984_national,womens_doubles_net,2,Constance Constable + Jenny Davison,Constance Constable + Jenny Davidson,CONFLICT
1984_worlds_golden_wfa,1984_national,womens_doubles_net,3,Jodi Chandler + Shannon Storment,Shannon Aubin + Tricia George,CONFLICT
1984_worlds_golden_wfa,1984_national,womens_overall,1,Tricia George,Tricia George,IDENTICAL
1984_worlds_golden_wfa,1984_national,womens_singles_net,1,Nancy Reynolds,Nancy Reynolds,IDENTICAL
1984_worlds_golden_wfa,1984_national,womens_singles_net,2,Tricia George,Cheryl Hughes + Tricia George,CONFLICT
1984_worlds_golden_wfa,1984_national,womens_singles_net,3,Trudy Archdale,Trudy Archdale,IDENTICAL
