event_id,severity,note
1021665982,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Novice"")"
1252110023,severe,"Open/Intermediate results merged under unlabelled divisions (""Circle"", ""Doubles"", ""Intermediate"" + 2 more)"
1268407783,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Novice"")"
1270631935,severe,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles Net"", ""Open Singles Net"")"
1391189882,severe,"pool+finals results merged (8 divisions, 15 dup pairs, 88 affected rows)"
1417735560,severe,"pool+finals results merged (5 divisions, 14 dup pairs, 121 affected rows)"
1449259560,severe,"pool+finals results merged (8 divisions, 68 dup pairs, 172 affected rows)"
1487797845,severe,"division results merged (""Mixed Doubles Net"", ""Open Routines"", 7 dup pairs)"
910551956,severe,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Singles Net"", ""Novice Doubles Net"", ""Open Doubles Net"" + 3 more)"
1001942070,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate"", ""Open"")"
1018812342,moderate,"minor: 3 duplicate place(s) in ""Girl's Freestyle"""
1114277529,moderate,"Open/Intermediate results merged under unlabelled divisions (""Intermediate Freestyle"", ""Open Freestyle"")"
1137937282,moderate,"division results merged (""Net"", ""Rutina Intermediate"", ""Sick 3"", 9 dup pairs)"
1158263300,moderate,"division results merged (""Open Freestyle"", ""Women Freestyle"", 5 dup pairs)"
1179679872,moderate,"division results merged (""Footbag Net Doubles"", ""Footbag Net Single"", 8 dup pairs)"
1185556078,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Freestyle"")"
1220466807,moderate,"pool+finals results merged (2 divisions, 10 dup pairs, 25 affected rows)"
1241031822,moderate,"division results merged (""Circle"", ""Routine"", 4 dup pairs)"
1269111845,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Net"")"
1285506605,moderate,"minor: 3 duplicate place(s) in ""Routines"""
1305581560,moderate,"division results merged (""Singles Net"", 9 dup pairs)"
1314323534,moderate,"division results merged (""Footbag Freestyle."", ""Shred 30"", 3 dup pairs)"
857879540,moderate,"division results merged (""Doubles Net"", ""Singles Net"", 6 dup pairs)"
857880054,moderate,"minor: 3 duplicate place(s) in ""Open Singles Net"""
937727262,moderate,"division results merged (""Doubles Net"", ""Grand Masters Division: :-)"", ""Mixed Net"", 7 dup pairs)"
947026077,moderate,"division results merged (""Doubles Net"", ""Freestyle"", ""Singles Net"", 9 dup pairs)"
948198763,moderate,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles Freestyle"", ""Open Women's Freestyle"")"
980502839,moderate,"minor: 3 duplicate place(s) in ""Intermediate Doubles Net"""
981560223,moderate,"division results merged (""Mens Open Freestyle"", 6 dup pairs)"
996293200,moderate,"minor: 3 duplicate place(s) in ""Doubles Freestyle"""
1016457376,moderate,"division results merged (""Intermediate"", 3 dup pairs)"
1019193491,minor,"minor: 1 duplicate place(s) in ""Intermediate Freestyle"""
1058877971,minor,"minor: 3 duplicate place(s) in ""Open"""
1070734498,minor,"Open/Intermediate results merged under unlabelled divisions (""Open Singles Freestyle"")"
1127155729,minor,"minor: 3 duplicate place(s) in ""Open Double Freestyle"""
1131659634,minor,"minor: 2 duplicate place(s) in ""Open Mixed Doubles"""
1160579826,minor,minor: 5-way tie at p5 in Mini Net — legitimate contest-format tie
1176650845,minor,"division results merged (""Freestyle Routines Finals"", 4 dup pairs)"
1286644859,minor,"minor: 2 duplicate place(s) in ""Open Singles Freestyle"""
1527557123,minor,"minor: 3 duplicate place(s) in ""Open Doubles"""
1537994275,minor,"minor: 3 duplicate place(s) in ""Open Doubles"""
1667566506,minor,"Open/Intermediate results merged under unlabelled divisions (""Open Doubles Net"", ""Open Singles Net"")"
1700920831,minor,"division results merged (""Singles Net"", 4 dup pairs)"
1759558836,minor,"minor: 1 duplicate place(s) in ""Singles Result"""
948943299,minor,"minor: 1 duplicate place(s) in ""Doubles Net"""
955745735,minor,"minor: 3 duplicate place(s) in ""Doubles Footbag Net"""
959353403,minor,Unknown division contains noise entries; trailing-colon division name causes mismatch (SOURCE_PARTIAL: source coverage limited)
984694623,moderate,"Stage2 has 20 placements vs PBP 8; old parse with city-as-teammate artifacts; identity incomplete (SOURCE_PARTIAL: historical event, limited source fidelity)"
1366240051,moderate,"9 of 12 doubles teams unresolved; South American identity gap; partial coverage expected (SOURCE_PARTIAL: regional event, incomplete identity resolution)"
